epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
19,0.003422071458771825,0.0011856552,0.0011856551,30.483437,0.9690448,0.002236417,0.0022364166,27.828634,0.89919156,0.004287426359951496,0.001455927500501275,0.0014559276169165969,28.961427688598633,0.9683810472488403,0.0025761169381439686,0.002576117403805256,26.716562271118164,0.8994467258453369
20,0.0034770234123182794,0.0012134577,0.0012134576,30.40227,0.96891165,0.0022635648,0.0022635653,27.770962,0.89937145,0.0036114859394729137,0.001155656180344522,0.0011556559475138783,30.551372528076172,0.9697432518005371,0.002246704651042819,0.0022467048838734627,27.790512084960938,0.900477409362793
21,0.0033652841136790814,0.0011635436,0.0011635433,30.545074,0.97001946,0.0022017397,0.0022017406,27.885305,0.9013856,0.003307791892439127,0.0011616572737693787,0.0011616573901847005,31.053054809570312,0.9695087671279907,0.002238090382888913,0.0022380908485502005,27.940155029296875,0.8997921347618103
22,0.0032904313512456913,0.001123924,0.0011239244,30.69088,0.97097176,0.0021665075,0.002166507,27.97348,0.90298253,0.0036771756131201982,0.001083103590644896,0.001083103590644896,31.28380012512207,0.9705291390419006,0.002278875093907118,0.0022788746282458305,27.857101440429688,0.8998925089836121
23,0.0033623027374657492,0.0011674027,0.0011674021,30.573761,0.9705041,0.0021948996,0.0021948991,27.924572,0.9028379,0.004399625584483147,0.001309858402237296,0.0013098582858219743,30.073368072509766,0.9701074957847595,0.002818099921569228,0.0028180989902466536,26.48917007446289,0.9002892374992371
24,0.0031905090785585345,0.0010906662,0.0010906659,30.834448,0.9717502,0.002099843,0.0020998428,28.12438,0.90566796,0.0033596325665712357,0.001207959372550249,0.001207959372550249,30.47146224975586,0.9696680903434753,0.0023562416899949312,0.002356241224333644,27.719173431396484,0.8996646404266357
25,0.0032600253308191895,0.0011292818,0.0011292826,30.724081,0.9713032,0.0021307436,0.0021307424,28.074423,0.9051624,0.0033709313720464706,0.001117681385949254,0.0011176812695339322,30.86530303955078,0.9712393283843994,0.0023164248559623957,0.0023164248559623957,27.466720581054688,0.9013247489929199
26,0.0031608440191484987,0.0010797547,0.0010797541,30.888865,0.97232085,0.0020810892,0.0020810894,28.177061,0.90678084,0.0031274021603167057,0.0010588709264993668,0.0010588709264993668,30.86678695678711,0.9721300601959229,0.0020372173748910427,0.0020372176077216864,28.348848342895508,0.9065009355545044
27,0.0030735961456472673,0.0010448005,0.0010448003,31.01645,0.97331464,0.0020287952,0.0020287961,28.297823,0.9092065,0.0040011657401919365,0.0011808979324996471,0.0011808979324996471,30.850072860717773,0.9714162349700928,0.0024026064202189445,0.002402606653049588,27.430681228637695,0.9050641059875488
28,0.0030451885036503275,0.0010311505,0.0010311505,31.068434,0.9735191,0.0020140389,0.0020140382,28.328144,0.90960276,0.003067116718739271,0.0009465790935792029,0.0009465789771638811,31.737773895263672,0.973490297794342,0.001946506672538817,0.001946506672538817,28.582292556762695,0.9085555672645569
29,0.0030560579143154125,0.0010403825,0.0010403821,31.05225,0.97341686,0.002015674,0.0020156754,28.339108,0.9096165,0.003401372581720352,0.0011555233504623175,0.0011555234668776393,30.82029914855957,0.9714885950088501,0.0023173256777226925,0.002317325212061405,27.715028762817383,0.9020689129829407
30,0.002985161810647696,0.0010085865,0.0010085871,31.165312,0.97421825,0.0019765745,0.0019765745,28.417463,0.9115958,0.0036546934861689806,0.0013641921104863286,0.0013641917612403631,30.011089324951172,0.9658201932907104,0.00238467613235116,0.00238467613235116,27.71920394897461,0.8943029046058655
31,0.0030162964186941582,0.0010211571,0.0010211567,31.131264,0.97400063,0.0019951398,0.0019951393,28.38783,0.9106636,0.003276723437011242,0.000987694482319057,0.0009876945987343788,31.84793472290039,0.973386287689209,0.00197048531845212,0.00197048531845212,28.827938079833984,0.9089844822883606
32,0.0029688250343315303,0.0010056581,0.0010056578,31.183222,0.97456753,0.0019631677,0.001963167,28.464739,0.9123791,0.004130089655518532,0.0012784115970134735,0.0012784115970134735,30.860734939575195,0.9717833399772644,0.0025224650744348764,0.0025224657729268074,27.39400863647461,0.9036632180213928
33,0.0029176092458268006,0.0009863732,0.0009863732,31.260572,0.97499186,0.0019312358,0.0019312365,28.532858,0.9135533,0.0032006846740841866,0.00099117960780859,0.0009911799570545554,31.365766525268555,0.9745754599571228,0.0020907968282699585,0.002090797061100602,28.10224723815918,0.9118072390556335
34,0.0029178213126336535,0.0009883962,0.0009883959,31.277445,0.97483957,0.0019294254,0.001929425,28.576664,0.91312516,0.0027464102022349834,0.0010329720098525286,0.0010329720098525286,31.355384826660156,0.9728654623031616,0.0019599825609475374,0.00195998209528625,28.806291580200195,0.9097824096679688
35,0.0028581298367741205,0.00096361537,0.00096361584,31.373291,0.9753722,0.0018945148,0.0018945143,28.656366,0.9147517,0.004338596016168594,0.0015129883540794253,0.001512988586910069,30.155487060546875,0.9687326550483704,0.0028780854772776365,0.002878085244446993,27.09927749633789,0.8967497944831848
36,0.0028582701870861153,0.00096342195,0.0009634219,31.358786,0.9754963,0.0018948491,0.0018948497,28.644922,0.9152707,0.0039490447379648685,0.0012082790490239859,0.0012082793982699513,30.615013122558594,0.9704300761222839,0.002384844468906522,0.002384844236075878,27.98410987854004,0.9012335538864136
