epoch,lr,train time
54,9.999999747378752e-05,1:11:16.464910
55,9.999999747378752e-05,1:11:30.960912
56,9.999999747378752e-05,1:12:25.506842
57,9.999999747378752e-05,1:11:30.286311
58,9.999999747378752e-05,1:10:37.861165
59,9.999999747378752e-05,1:11:13.211747
60,9.999999747378752e-05,1:30:42.679617
61,9.999999747378752e-05,1:10:38.264654
62,9.999999747378752e-05,1:11:02.967781
63,9.999999747378752e-05,1:11:03.066546
64,9.999999747378752e-05,1:10:45.612530
65,9.999999747378752e-05,1:10:16.365580
66,9.999999747378752e-05,1:11:32.169572
67,9.999999747378752e-05,1:51:14.751309
68,9.999999747378752e-05,1:12:23.959064
69,9.999999747378752e-05,1:11:19.607171
70,9.999999747378752e-05,1:10:08.020879
71,9.999999747378752e-05,1:14:02.209703
72,9.999999747378752e-05,1:11:18.268694
73,9.999999747378752e-05,1:10:47.107909
74,9.999999747378752e-05,1:10:16.714341
75,9.999999747378752e-05,1:10:19.823725
76,9.999999747378752e-05,1:12:36.947530
77,9.999999747378752e-05,1:10:44.603463
78,9.999999747378752e-05,1:11:23.187626
79,9.999999747378752e-05,1:11:46.469942
80,9.999999747378752e-05,1:10:52.777978
81,9.999999747378752e-05,1:14:02.756775
82,9.999999747378752e-05,1:10:49.381976
82,9.999999747378752e-05,1:12:07.839035
83,9.999999747378752e-05,1:12:13.385127
84,9.999999747378752e-05,1:11:23.360693
85,9.999999747378752e-05,1:18:40.541672
86,9.999999747378752e-05,1:10:56.010780
87,9.999999747378752e-05,1:09:56.600422
88,9.999999747378752e-05,1:10:52.923687
89,9.999999747378752e-05,1:10:24.823525
90,9.999999747378752e-05,1:10:46.167114
91,9.999999747378752e-05,1:15:14.632387
92,9.999999747378752e-05,1:11:42.100908
93,9.999999747378752e-05,1:11:32.198214
94,9.999999747378752e-05,1:11:05.643820
95,9.999999747378752e-05,1:11:37.101632
96,9.999999747378752e-05,1:12:00.452487
97,9.999999747378752e-05,1:10:51.196467
98,9.999999747378752e-05,1:09:58.227299
99,9.999999747378752e-05,1:10:47.450006
100,9.999999747378752e-05,1:10:53.022030
101,9.999999747378752e-05,1:17:41.770591
102,9.999999747378752e-05,1:12:30.813628
103,9.999999747378752e-05,1:10:56.127594
104,9.999999747378752e-05,1:11:47.140662
105,9.999999747378752e-05,1:11:25.402956
106,9.999999747378752e-05,1:11:00.330159
107,9.999999747378752e-05,1:10:39.217954
108,9.999999747378752e-05,1:13:05.247840
108,9.999999747378752e-05,1:14:39.867440
109,9.999999747378752e-05,1:15:04.792809
110,9.999999747378752e-05,1:11:20.983945
111,9.999999747378752e-05,1:12:14.268742
112,9.999999747378752e-05,1:11:33.611547
113,9.999999747378752e-05,2:02:41.976071
114,9.999999747378752e-05,1:11:05.014270
115,9.999999747378752e-05,1:11:47.207785
116,9.999999747378752e-05,1:10:50.176000
117,9.999999747378752e-05,1:12:46.665004
118,9.999999747378752e-05,1:11:10.492477
119,9.999999747378752e-05,1:10:12.016651
120,9.999999747378752e-05,1:14:32.179886
121,9.999999747378752e-05,1:16:40.240588
122,9.999999747378752e-05,1:14:28.715289
123,9.999999747378752e-05,1:14:55.161842
124,9.999999747378752e-05,1:10:45.917404
125,9.999999747378752e-05,1:14:41.307772
126,9.999999747378752e-05,1:15:32.158756
127,9.999999747378752e-05,1:11:03.261233
128,9.999999747378752e-05,1:12:17.052211
129,9.999999747378752e-05,1:11:34.923088
130,9.999999747378752e-05,1:16:01.566460
131,9.999999747378752e-05,1:20:35.593762
132,9.999999747378752e-05,1:13:10.445477
133,9.999999747378752e-05,1:13:25.143010
134,9.999999747378752e-05,1:09:48.929974
135,9.999999747378752e-05,1:11:00.827121
136,9.999999747378752e-05,1:11:00.141261
137,9.999999747378752e-05,1:14:06.155501
138,9.999999747378752e-05,1:11:58.767038
139,9.999999747378752e-05,1:09:56.739457
140,9.999999747378752e-05,1:12:17.025547
141,9.999999747378752e-05,1:12:11.347556
142,9.999999747378752e-05,1:11:01.582628
143,9.999999747378752e-05,1:15:07.842350
144,9.999999747378752e-05,1:12:35.245858
145,9.999999747378752e-05,1:12:10.408808
146,9.999999747378752e-05,1:11:33.389819
147,9.999999747378752e-05,1:10:04.299914
148,9.999999747378752e-05,1:12:30.438321
148,9.999999747378752e-05,1:14:09.294669
149,9.999999747378752e-05,1:16:11.275369
