epoch,loss,scale128_output_loss,scale128_output_mse,scale128_output_psnr_metric,scale128_output_ssim_metric,scale256_output_loss,scale256_output_mse,scale256_output_psnr_metric,scale256_output_ssim_metric,val_loss,val_scale128_output_loss,val_scale128_output_mse,val_scale128_output_psnr_metric,val_scale128_output_ssim_metric,val_scale256_output_loss,val_scale256_output_mse,val_scale256_output_psnr_metric,val_scale256_output_ssim_metric
0,0.012612542848256891,0.005800422,0.005800422,24.462198,0.7213223,0.0068121315,0.0068121315,23.51629,0.6368725,0.005118425935506821,0.0034689470194280148,0.0034689470194280148,25.871990203857422,0.788062334060669,0.004579372704029083,0.004579372704029083,24.522146224975586,0.7070193290710449
1,0.00809961995400954,0.0035175607,0.0035175607,26.413212,0.8017433,0.004582062,0.0045820614,25.004114,0.72388595,0.006204748060554266,0.0031922899652272463,0.0031922899652272463,26.4248104095459,0.798561692237854,0.004452154505997896,0.004452154505997896,24.6253662109375,0.7251484394073486
2,0.007164065499913434,0.0031420547,0.0031420547,27.115126,0.8177319,0.004022005,0.004022005,25.701988,0.74617285,0.009918125346302986,0.00282774749211967,0.0028277472592890263,27.055566787719727,0.8126170039176941,0.003927764482796192,0.003927764482796192,25.192995071411133,0.7396077513694763
3,0.006706446392403181,0.0029718052,0.0029718052,27.374058,0.82458746,0.0037346417,0.0037346417,26.035204,0.7571198,0.004753849469125271,0.0028076102025806904,0.0028076102025806904,27.043119430541992,0.8141453862190247,0.0035190561320632696,0.003519056597724557,25.83138656616211,0.7460157871246338
4,0.006530638925040775,0.002939778,0.002939778,27.479725,0.8249137,0.0035908655,0.0035908662,26.270336,0.7617229,0.0039741275832057,0.002717881929129362,0.002717881929129362,27.641841888427734,0.8214251399040222,0.003241567173972726,0.003241567173972726,26.52991485595703,0.7582083344459534
5,0.006209760642020599,0.0028255498,0.0028255498,27.693483,0.8299475,0.0033842088,0.0033842083,26.565605,0.77100056,0.002421547193080187,0.002542535774409771,0.002542535774409771,27.9896183013916,0.8233160972595215,0.003010969841852784,0.003010969841852784,26.91043472290039,0.7651400566101074
6,0.005873974943979529,0.0027002196,0.0027002196,27.888939,0.8354249,0.0031737608,0.0031737608,26.873594,0.78026956,0.00510998722165823,0.00254873582161963,0.00254873582161963,28.055986404418945,0.8244124054908752,0.0029374249279499054,0.0029374246951192617,27.200618743896484,0.7705143690109253
7,0.005826530167407192,0.0026986166,0.0026986166,27.930885,0.8352448,0.0031279156,0.0031279158,26.967047,0.78360736,0.003032824257388711,0.0024826722219586372,0.0024826722219586372,28.0026912689209,0.8299105167388916,0.002924744738265872,0.002924744738265872,26.95473289489746,0.7745298147201538
8,0.005697407476415079,0.0026517469,0.0026517469,28.015451,0.8364538,0.0030456563,0.0030456563,27.106394,0.78695667,0.005109020974487066,0.00260373018682003,0.002603730419650674,27.783498764038086,0.8235061168670654,0.002907131565734744,0.002907131565734744,26.955480575561523,0.7737471461296082
9,0.005561616970273328,0.0026001057,0.0026001057,28.12852,0.8395161,0.0029615068,0.0029615068,27.262136,0.79168135,0.0024236049503087997,0.0024343044497072697,0.002434304216876626,28.208890914916992,0.8297025561332703,0.0027228337712585926,0.0027228337712585926,27.385000228881836,0.7818025946617126
