,ssim
670,0.7171151778991467
671,0.6469262910449516
672,0.5453654662705253
673,0.44243353302787175
674,0.5532490253252247
675,0.7745086885900152
676,0.7574409188678072
677,0.7766999647283891
678,0.44856376257400843
679,0.6439767996042479
680,0.6469983556478341
681,0.6014119745353502
682,0.6590045428476704
683,0.6076102567537092
684,0.7466043612397955
685,0.4672094225453338
686,0.8263330330634039
687,0.7996128733857621
688,0.859678178857041
689,0.7473677186694688
690,0.7416927291534027
691,0.6950046057345395
692,0.5759180503573291
693,0.672603945789558
694,0.5353561713429246
695,0.34821095063840674
696,0.7647194182591225
697,0.6976687338027755
698,0.5439101530605036
699,0.5271445768709838
700,0.8479768830121411
701,0.5237501181230123
702,0.7817751107297272
703,0.8880559771417061
704,0.5514116831171278
705,0.6480065295023109
706,0.7360378635056978
707,0.7728069109207497
708,0.6170564730238645
709,0.7326934718346605
710,0.728389973422308
711,0.4256750674615022
712,0.7822671469357552
713,0.7107695577773319
714,0.6237069159217145
715,0.5513835667482033
716,0.8947743603114332
717,0.8680849301356948
718,0.5538647011523415
719,0.5442028389841758
720,0.34807670931167367
721,0.315054930805942
722,0.5732727533171293
723,0.4780063559592353
724,0.6091750780467321
725,0.4624286331595065
726,0.6845707838501897
727,0.7915619500000236
728,0.7087030382683888
729,0.5122732606469105
730,0.41784293142443046
731,0.5733136048019408
732,0.5241156446238157
733,0.5513715207416303
734,0.4750015563254959
735,0.43231633402164166
736,0.673818404227084
737,0.5335214644107792
738,0.5725875298120653
739,0.5900221192674134
740,0.43205330993344226
741,0.5105786379219049
742,0.5272372146766156
743,0.8649848715833239
744,0.6433463454741125
745,0.5087114532634597
746,0.8436463811161984
747,0.8750190321505028
748,0.5897944369424315
749,0.6142710655217952
750,0.47880567274911917
751,0.8274499310586614
752,0.5446254199349193
753,0.8943980222213049
754,0.559811142867284
755,0.6934200753042267
756,0.5295858734756967
757,0.5455163695515038
758,0.6922627971299568
759,0.7576950488537931
760,0.36299702611384804
761,0.4142700038601103
762,0.5363537988774646
763,0.5204069777097183
764,0.6903753170343725
765,0.7546371491118319
766,0.6821353364479282
767,0.803103088956726
768,0.3891696123911433
769,0.5423716253084864
770,0.43932326596557775
771,0.5550470786066151
772,0.4609520945867241
773,0.4068025191591686
774,0.8316611789512692
775,0.7911696173974668
776,0.6377113325541915
777,0.7031317288596745
778,0.8829618738657126
779,0.6793303089359676
780,0.5091800503494617
781,0.46073289262089395
782,0.5531137456173465
783,0.5037569599860223
784,0.6069767892673933
785,0.7884324356545708
786,0.8465317193607144
787,0.6454394892557371
788,0.49848484269099397
789,0.43997940287356135
790,0.3907470787987311
791,0.37556905139931684
792,0.5197944803791955
793,0.4319726890518554
794,0.5533573602257306
795,0.5447848349319488
796,0.5986179297007618
797,0.595743047481678
798,0.6301816914783668
799,0.4738910522249365
800,0.8783576346644505
801,0.5966796787296479
802,0.6334936747714438
803,0.5990137235872344
804,0.7811373317998408
805,0.786090449617444
806,0.8868525143643948
807,0.8811358572225844
808,0.7355057896007308
809,0.8202422165258194
810,0.8740914306130403
811,0.858351601306547
812,0.7223113006985944
813,0.7782833320654593
814,0.8348696291973581
815,0.8259513576115332
816,0.8234411565483811
817,0.800738707703789
818,0.7852707944715913
819,0.6429764656039443
820,0.7146492214633371
821,0.7945039543645231
822,0.8271399157023277
823,0.8088718539756651
824,0.8632654767135678
825,0.6926630500739149
826,0.8444336625252454
827,0.7080172486628875
828,0.8720742693031177
829,0.8208786822913949
830,0.84772895214568
831,0.7862865462314224
832,0.8644830891365237
833,0.7933076947339416
834,0.767985033708836
835,0.8345794718218466
836,0.8233527540071183
837,0.8529709721766844
838,0.8506143702295246
839,0.8134549038468867
840,0.5940723834046846
841,0.8379524707033528
842,0.8247273979114641
843,0.8924675104759837
844,0.8540987722136831
845,0.8420364976983957
846,0.856811440656863
847,0.8498084285203146
848,0.8174238126039701
849,0.8701075039254844
850,0.8933317241865435
851,0.8812584366281092
852,0.8598338607731173
853,0.7217542643221786
854,0.8192659944268681
855,0.8031979094551073
856,0.859110676605111
857,0.8417156710004102
858,0.8291081803036299
859,0.8621161050728178
860,0.8955556627156596
861,0.7966345365448625
862,0.866236017450916
863,0.863093460904173
864,0.8889468223492081
865,0.8924089311118033
866,0.8981109935808669
867,0.895042073673511
868,0.8994783463162387
869,0.8980242439110634
870,0.8887714326396067
871,0.8951117247564747
872,0.973536221772085
873,0.9823040320730225
874,0.9683676181072641
875,0.9858087163854958
876,0.9910363049592341
877,0.9871629932846128
878,0.9940738820431824
879,0.9902235583357667
880,0.9902031098527156
881,0.9796014006631513
882,0.8588435469785938
883,0.8571922198576019
884,0.8933400782920673
885,0.8705261836238177
886,0.7955324078946152
887,0.790864643023235
888,0.8686853728785547
889,0.8613005996781715
890,0.8259629159207478
891,0.8568458505925397
892,0.8591194780475683
893,0.844983925939682
894,0.8199555110318966
895,0.8481379875918963
896,0.8285866954965373
897,0.7491913118754363
898,0.7281407637068007
899,0.8383792692332661
900,0.747889435820072
901,0.8482179531466943
902,0.7981597311409233
903,0.8799393061771296
904,0.7624516381947094
905,0.8577223860735751
906,0.7995847598564483
907,0.8169682355859837
908,0.7469448623367866
909,0.8194472781054877
910,0.7718689197523423
911,0.7852269277424835
912,0.9496198020145163
913,0.9452108199705385
914,0.8961912216770633
915,0.9807889804970827
916,0.9287151919875186
917,0.9780390352503012
918,0.9617584994425306
919,0.9667460955855695
920,0.953646423283761
921,0.9080243391952906
922,0.9672530490953197
923,0.9640663655500532
924,0.8992450818440627
925,0.8981925278600977
926,0.876097819612364
927,0.886388685892634
928,0.951381880049218
929,0.9456090077928527
930,0.9619037231602666
931,0.9521888819588612
932,0.8874145781418309
933,0.882327596105712
934,0.8968439473588833
935,0.8927692597284286
936,0.9495732562998823
937,0.9558810386160075
938,0.9458483874732887
939,0.9383150697032824
940,0.883151878703925
941,0.8872122006779232
942,0.851391553087868
943,0.8650630684085332
944,0.8811107434876387
945,0.8799392807253305
946,0.7921025294931295
947,0.880071745312136
948,0.8613406817660453
949,0.8471828889685332
950,0.7818365109704914
951,0.7768574030532753
952,0.8727398042939395
953,0.8922389052761157
954,0.845182356161066
955,0.7693306284155872
956,0.8783229186371826
957,0.8414945820997004
958,0.8289652313321508
959,0.8930424457194087
960,0.8225559316614048
961,0.6971272996737697
962,0.7179712351565658
963,0.6567033206153513
964,0.7935035570366704
965,0.8132064746430316
966,0.731666771927852
967,0.822423510748047
968,0.7403912593627501
969,0.7267717394795709
970,0.7966121644041388
971,0.8684671036056244
972,0.8498843490609879
973,0.8675972924904417
974,0.7952545002106356
975,0.7584742783346451
976,0.8183390067965052
977,0.8194809365847288
978,0.8920873415936018
979,0.8355448596979755
980,0.8163004706647327
981,0.8390616143479307
982,0.7566478161475692
983,0.6809258110572661
984,0.772537935191071
985,0.704768984668803
986,0.8373404795100319
987,0.8510535210056128
988,0.8901991127394622
989,0.840567802023057
990,0.8557025620583345
991,0.8823888663459579
992,0.8628121719476267
993,0.8246584196467825
994,0.8401254239215987
995,0.8104473180915699
996,0.8356730272585038
997,0.8548314519468837
998,0.8936665502006319
999,0.8625057738599323
1000,0.8840583890530334
1001,0.7663309695584081
1002,0.8360401577788946
1003,0.6999253573781683
1004,0.4911532667720109
1005,0.7462613183088482
1006,0.648435569972638
1007,0.4718653696717388
1008,0.6342521471014649
1009,0.6404162543374085
1010,0.7060211782488622
1011,0.7778401346193488
1012,0.6891100579775423
1013,0.7208231511526044
1014,0.8830792900737429
1015,0.8745173415061874
1016,0.506864358304325
1017,0.7917435297285128
1018,0.44822574855337133
1019,0.7822101926056929
1020,0.5869523884338276
1021,0.45624069436496234
1022,0.786352393012729
1023,0.46018905160028684
1024,0.771622547080249
1025,0.8246732343110783
1026,0.898615168062249
1027,0.8972249256451644
1028,0.8505235976957349
1029,0.7353151269198944
1030,0.699547822744111
1031,0.8743110861932962
1032,0.7768979317272979
1033,0.7106149729961381
1034,0.6496053446056456
1035,0.5379847219020476
1036,0.8485957964553529
1037,0.8312718425551564
1038,0.8374314154432264
1039,0.8356388530902974
1040,0.7663173997376185
1041,0.8191753133697758
1042,0.7578262622193992
1043,0.898247280318844
1044,0.8266021337992004
1045,0.840835901946769
1046,0.7592239496264637
1047,0.8403670179181155
1048,0.7688117916980475
1049,0.8347172290122901
1050,0.7617141381178886
1051,0.7829694086415393
1052,0.8904739885043328
1053,0.8945520194291688
1054,0.8688409319421115
1055,0.8322090541253511
1056,0.8735648344536844
1057,0.8813451802137587
1058,0.7974036770315488
1059,0.7928751524543615
1060,0.8473293676868403
1061,0.6019732429205847
1062,0.7725278799473932
1063,0.6534368184092126
1064,0.8517192397815446
1065,0.8205971468518305
1066,0.8539465582567626
1067,0.8646773872324142
1068,0.864137306355257
1069,0.8731524733272917
1070,0.8358377656131823
1071,0.8226880453169104
1072,0.7123069203411886
1073,0.6108423067215439
1074,0.8001868825447208
1075,0.8686693360413963
1076,0.8109714435798475
1077,0.8163354388486503
1078,0.8443553583045015
1079,0.6778483978628626
1080,0.8648402111024196
1081,0.8840936745258343
1082,0.7357558249446884
1083,0.7475674969144865
1084,0.49953451615113753
1085,0.6563327697148038
1086,0.5968315531327191
1087,0.7504780055601352
1088,0.6588896679727042
1089,0.6121032827333669
1090,0.7849604893602561
1091,0.8556204512299136
1092,0.6109717647856131
1093,0.6214806844048587
1094,0.8335547184344919
1095,0.5977016453797396
1096,0.8441315663727255
1097,0.6048130473297548
1098,0.7151670432432122
1099,0.7802151862755964
1100,0.6847890024135443
1101,0.620113957838769
1102,0.7567312835306592
1103,0.8371519592001705
1104,0.8958856059171216
1105,0.8113780550186162
1106,0.7950515030205163
1107,0.692861558815884
1108,0.6965348343772017
1109,0.5544055488991345
1110,0.6993423000067421
1111,0.6972545954884724
1112,0.654907343887162
1113,0.6949838308634163
1114,0.5482855274213275
1115,0.5202645153722352
1116,0.8291627024393088
1117,0.7918172458732539
1118,0.6094755277669425
1119,0.46752209060298583
1120,0.41297277892203793
1121,0.3670117832031627
1122,0.7745729016300759
1123,0.39700979676671166
1124,0.8651047821144792
1125,0.8562659883592714
1126,0.6497381815680977
1127,0.6545566068637166
1128,0.7323070617187963
1129,0.7695214068363829
1130,0.8560401794050119
1131,0.9030093682287413
1132,0.8524856578886061
1133,0.8232981354083336
1134,0.7199023417649072
1135,0.7557149354749368
1136,0.681214485362743
1137,0.737494573800082
1138,0.6521412269902521
1139,0.5422875834884896
1140,0.3959605116676772
1141,0.3725537102989547
1142,0.4574253654537012
1143,0.4727055198908712
1144,0.511112141929291
1145,0.5357359500538689
1146,0.6418668610823365
1147,0.5479485637851479
1148,0.4359099214516817
1149,0.6745893550558147
1150,0.4972193487232635
1151,0.45921647162589635
1152,0.5521718339279258
1153,0.5784300228934681
1154,0.5147729322858904
1155,0.5160232657987778
1156,0.47452982145894684
1157,0.7714173320246994
1158,0.7445899158052933
1159,0.4582366626428786
1160,0.6917190671694913
