,ssim
0,0.8176292534258338
1,0.6988171719565105
2,0.7363785502154824
3,0.7885041030299952
4,0.9666954277015908
5,0.9062124699727909
6,0.759516081462535
7,0.816443410652679
8,0.49683242148926515
9,0.703310053276628
10,0.6379470386736111
11,0.6647991341420716
12,0.5834674892184447
13,0.720999345040566
14,0.602002633203434
15,0.7332991291257748
16,0.7037299056384625
17,0.6777214130791167
18,0.638158260746637
19,0.6127402411714991
20,0.5010115013502078
21,0.7744420194504271
22,0.76628095195887
23,0.5907089751677758
24,0.4972912496428821
25,0.6096554077208731
26,0.8362053017981448
27,0.7068404649761005
28,0.6052916497455986
29,0.6595696977132368
30,0.5677399955889272
31,0.7004996283780339
32,0.6175971470726196
33,0.595565927262249
34,0.6406146185863625
35,0.5908675704669792
36,0.4199165919404071
37,0.6605227483833421
38,0.55210713410805
39,0.6971137635274554
40,0.4527723158581048
41,0.7001856514693401
42,0.4852275147607896
43,0.5836756265275835
44,0.6638139285436483
45,0.6983723769515452
46,0.8869502435613491
47,0.8115861483134702
48,0.574425878857944
49,0.5724995579004561
50,0.6630232837844307
51,0.6828555660195473
52,0.6050790945614392
53,0.5915284172188234
54,0.7702652939134819
55,0.655753300451576
56,0.7666602990034779
57,0.7595792140051246
58,0.6570506227624741
59,0.5461286910314513
60,0.5603961375784839
61,0.5887177467317048
62,0.6960987799100277
63,0.7448292395216285
64,0.7435011344485591
65,0.8658805387947129
66,0.7690413655754554
67,0.5120713677854305
68,0.679504564706502
69,0.7910089060609767
70,0.7554887147074513
71,0.70423413101043
72,0.5847795909632723
73,0.536776258396182
74,0.6499314099192093
75,0.6023318259996867
76,0.5649009744258014
77,0.810937169084852
78,0.548830366350043
79,0.5302075543292637
80,0.6409556265871738
81,0.9041761662374878
82,0.6601083089392509
83,0.5414134771745799
84,0.6254986271475355
85,0.5371940761412759
86,0.8298516586238005
87,0.6960400360598299
88,0.8299359078927893
89,0.8682681659175059
90,0.7719210106855071
91,0.7517850552936073
92,0.720393842085915
93,0.8388670347177832
94,0.9330655617096224
95,0.6385103284588083
96,0.7750451996674048
97,0.8714989472742878
98,0.9484197832803881
99,0.9186046088585226
100,0.9079303812775331
101,0.9072987791503118
102,0.7805367572419953
