epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
11,0.0041314188453058405,0.0015001441,0.0015001441,29.487833,0.9608761,0.0026312748,0.002631275,27.00926,0.8821742,0.005858993623405695,0.002197695430368185,0.0021976958960294724,28.270627975463867,0.9378078579902649,0.0034477971494197845,0.003447796916589141,25.95026206970215,0.8584505319595337
12,0.0040826049889437855,0.0014658784,0.0014658787,29.535906,0.9622289,0.002616728,0.0026167254,27.002817,0.88347524,0.0055812811478972435,0.002462637610733509,0.002462636912241578,28.1502685546875,0.9139368534088135,0.004083567764610052,0.004083567764610052,25.505807876586914,0.819304347038269
13,0.0038908479711972175,0.0013902836,0.0013902835,29.78395,0.9642272,0.0025005646,0.0025005653,27.226984,0.8884295,0.005265855696052313,0.001693281577900052,0.0016932819271460176,28.402027130126953,0.9640917778015137,0.003395062405616045,0.003395062405616045,25.428014755249023,0.8877034187316895
14,0.003875318088879188,0.0013896963,0.0013896967,29.799248,0.96474755,0.0024856215,0.002485622,27.261223,0.88974494,0.004798130597919226,0.0015270252479240298,0.0015270250150933862,28.92000961303711,0.9638617634773254,0.0027736788615584373,0.002773679094389081,26.643714904785156,0.8847600817680359
15,0.0036856779370767374,0.0013043307,0.0013043304,30.081009,0.9664316,0.0023813474,0.0023813474,27.487825,0.8932165,0.0037146122194826603,0.0012511750683188438,0.0012511751847341657,30.397188186645508,0.9648747444152832,0.002479517599567771,0.0024795180652290583,27.30731773376465,0.8885794281959534
16,0.0036963167251087723,0.0012909204,0.0012909212,30.112745,0.96715367,0.002405396,0.0024053957,27.414917,0.8928245,0.0035123140551149845,0.0012453770032152534,0.0012453768867999315,30.0888729095459,0.9681695103645325,0.0024157073348760605,0.002415707102045417,27.412944793701172,0.8949036002159119
17,0.0037713905664471287,0.0013655956,0.0013655944,29.926046,0.9650804,0.0024057955,0.0024057953,27.448483,0.89280576,0.0035585686564445496,0.0011760201305150986,0.0011760202469304204,30.581401824951172,0.9684078097343445,0.0025220459792762995,0.0025220459792762995,27.13594627380371,0.8963098526000977
18,0.0035939732116336623,0.0012755204,0.0012755209,30.179081,0.96763664,0.002318452,0.0023184526,27.61769,0.8967575,0.004576376639306545,0.001416495768353343,0.001416495768353343,29.730302810668945,0.9668065309524536,0.0027867292519658804,0.0027867292519658804,26.583093643188477,0.8925082683563232
19,0.0034532275695043305,0.0012099852,0.0012099855,30.38685,0.9691638,0.0022432418,0.0022432432,27.760658,0.8997369,0.0036632397677749395,0.0011566028697416186,0.0011566025204956532,30.46403694152832,0.9696798920631409,0.0023166704922914505,0.002316670957952738,27.571603775024414,0.900232195854187
20,0.003595473284367472,0.0012843024,0.0012843026,30.164005,0.96788275,0.002311171,0.0023111706,27.629862,0.8979542,0.004738946910947561,0.001606908394023776,0.001606908394023776,28.86622428894043,0.9663529992103577,0.0026451183948665857,0.0026451183948665857,26.86562156677246,0.8935368061065674
21,0.0034437235817313195,0.0012224609,0.0012224604,30.381586,0.9686893,0.0022212632,0.002221263,27.835367,0.9009171,0.0031144653912633657,0.001153486198745668,0.001153486198745668,30.77643394470215,0.9696553349494934,0.0022809479851275682,0.002280948217958212,27.796798706054688,0.901369571685791
22,0.003311083126657953,0.0011571195,0.0011571201,30.580513,0.97089046,0.0021539635,0.0021539629,27.972124,0.90368193,0.0033961355220526457,0.0012405529851093888,0.0012405529851093888,30.482620239257812,0.9696431159973145,0.0024799765087664127,0.0024799765087664127,27.306047439575195,0.9004331231117249
23,0.0034257343085482717,0.0012134995,0.0012134991,30.417738,0.9693613,0.0022122345,0.0022122348,27.861748,0.902089,0.0048623718321323395,0.0022816029377281666,0.002281602704897523,28.779829025268555,0.9471904635429382,0.0028753536753356457,0.002875353442505002,26.477205276489258,0.8829061985015869
24,0.0033069383345233896,0.0011594109,0.0011594112,30.585236,0.9704199,0.002147527,0.0021475276,27.994875,0.90353566,0.0033479740377515554,0.0011633529793471098,0.001163352862931788,30.699216842651367,0.9707652926445007,0.0021687813568860292,0.0021687811240553856,28.04169464111328,0.9032543301582336
25,0.0032260703047116597,0.001132133,0.0011321328,30.747053,0.97131956,0.0020939382,0.0020939365,28.160238,0.90620136,0.0039282552897930145,0.001249582157470286,0.001249582157470286,30.023204803466797,0.9710883498191833,0.0024291493464261293,0.0024291500449180603,27.205852508544922,0.9031463265419006
26,0.003250412743849059,0.0011400818,0.001140081,30.687733,0.97150683,0.002110332,0.0021103316,28.109072,0.90619963,0.0034652994945645332,0.0011760267661884427,0.0011760264169424772,30.591201782226562,0.9699355959892273,0.002510059392079711,0.002510060090571642,27.198638916015625,0.901955783367157
27,0.00319460551875333,0.0011150104,0.0011150101,30.75432,0.9720921,0.0020795949,0.0020795953,28.162617,0.9075467,0.0038628270849585533,0.0014676764840260148,0.0014676762511953712,30.242591857910156,0.9598850011825562,0.002611620118841529,0.002611620118841529,27.429229736328125,0.89024817943573
28,0.0031001256910773616,0.0010717446,0.0010717446,30.935986,0.9728598,0.0020283812,0.002028382,28.29861,0.9086399,0.0035154661163687706,0.0010344745824113488,0.0010344749316573143,31.35996437072754,0.9726157784461975,0.002090491121634841,0.0020904915872961283,28.233118057250977,0.9063834547996521
29,0.0030652008151325085,0.0010559122,0.0010559126,30.998722,0.9734749,0.0020092882,0.0020092886,28.342537,0.9100636,0.0026968924794346094,0.001008852617815137,0.001008852617815137,31.088659286499023,0.9734199643135071,0.002008836716413498,0.0020088364835828543,28.367000579833984,0.9097393751144409
30,0.003133425104121367,0.0010916285,0.0010916292,30.893425,0.97267294,0.002041795,0.0020417965,28.288897,0.90901285,0.005221733823418617,0.0026638268027454615,0.0026638272684067488,27.79322624206543,0.9378164410591125,0.003648368874564767,0.0036483691073954105,26.28084945678711,0.8544522523880005
31,0.0031424427350672584,0.0011106916,0.0011106911,30.788218,0.9723065,0.0020317512,0.0020317514,28.283655,0.9095647,0.0033103888854384422,0.00103511952329427,0.0010351194068789482,31.238828659057617,0.9723690748214722,0.0021491884253919125,0.002149188192561269,28.152294158935547,0.906190037727356
32,0.0030630161752924325,0.0010659428,0.0010659433,30.99785,0.9732441,0.0019970732,0.0019970718,28.408014,0.91076857,0.0033789887093007565,0.0010911683784797788,0.0010911683784797788,31.563453674316406,0.9694599509239197,0.0019961586222052574,0.0019961586222052574,28.515913009643555,0.9078696966171265
33,0.003037341620462636,0.0010584316,0.0010584312,30.994719,0.97347814,0.001978911,0.00197891,28.430952,0.91136855,0.0038938403595238924,0.001273540547117591,0.001273540547117591,31.035022735595703,0.9596149921417236,0.0022412692196667194,0.0022412692196667194,28.36012077331543,0.8987743854522705
34,0.002986500239154945,0.001035516,0.0010355158,31.063913,0.97404176,0.0019509849,0.0019509832,28.496786,0.9123783,0.0033010959159582853,0.0010816784342750907,0.0010816784342750907,31.018680572509766,0.9730871319770813,0.0021125334315001965,0.0021125338971614838,28.151700973510742,0.9089953303337097
35,0.002994431766370932,0.0010431354,0.0010431355,31.05615,0.9736969,0.0019512961,0.0019512952,28.500795,0.91243166,0.003942577168345451,0.0013238734100013971,0.0013238734100013971,29.94736099243164,0.9714137315750122,0.0023657174315303564,0.002365716267377138,27.536767959594727,0.9090173244476318
36,0.00298663364800935,0.0010404765,0.0010404768,31.140055,0.97410476,0.0019461574,0.001946158,28.585756,0.91272855,0.002598387887701392,0.0009507636423222721,0.0009507635841146111,31.508785247802734,0.9749835133552551,0.0018697535851970315,0.0018697538180276752,28.89676856994629,0.9117735028266907
37,0.0029116563048834604,0.0010111355,0.0010111354,31.220112,0.974546,0.0019005209,0.0019005213,28.661852,0.9146649,0.004026089794933796,0.001592672080732882,0.0015926723135635257,30.250062942504883,0.9627634882926941,0.0023815783206373453,0.0023815780878067017,27.524059295654297,0.9057509899139404
38,0.0028729302785359323,0.000990623,0.0009906233,31.302431,0.9750362,0.0018823073,0.0018823068,28.724764,0.9151927,0.002898856997489929,0.0009970634710043669,0.0009970634710043669,31.758150100708008,0.973058819770813,0.0020271374378353357,0.0020271369721740484,28.55868148803711,0.910081684589386
