epoch,loss,mse,psnr_metric,ssim_metric,val_loss,val_mse,val_psnr_metric,val_ssim_metric
0,0.009623605421032098,0.009623605,21.213428,0.65767235,0.029616717249155045,0.028849434107542038,15.961263656616211,0.5116119384765625
1,0.004842497008469175,0.0048424983,23.957357,0.7898489,0.017047608271241188,0.01734893210232258,18.12160301208496,0.5962772369384766
2,0.003984620619346114,0.003984621,24.88138,0.82357925,0.007298042997717857,0.007434380240738392,22.26386833190918,0.7301109433174133
3,0.0034689009436132275,0.0034688998,25.588089,0.8436417,0.004575103987008333,0.004666598048061132,24.18549919128418,0.8269470930099487
4,0.0032503506141331267,0.0032503505,25.918497,0.85476315,0.0057665626518428326,0.005590283777564764,23.488187789916992,0.8221437931060791
5,0.0030918477513991733,0.0030918478,26.170132,0.86236966,0.0038544773124158382,0.003912418615072966,24.774139404296875,0.8573320508003235
6,0.0029140032800462315,0.0029140038,26.462791,0.8705267,0.0037409609649330378,0.003635522909462452,25.410106658935547,0.8520752787590027
7,0.0027482126387493575,0.0027482123,26.79969,0.8763759,0.003910807892680168,0.003963708411902189,25.157365798950195,0.8610085248947144
8,0.0026662233751267193,0.002666223,26.91825,0.88136905,0.0030723819509148598,0.0031634436454623938,26.22808265686035,0.8748474717140198
9,0.002547945178059094,0.0025479444,27.148214,0.885927,0.002835256280377507,0.0028593367896974087,26.555742263793945,0.8770900964736938
10,0.0025497197105056224,0.002549719,27.17809,0.88699365,0.0035202400758862495,0.0033909729681909084,25.77817726135254,0.8672842383384705
11,0.0024365974768229266,0.0024365976,27.414518,0.8912412,0.002768062986433506,0.0028329193592071533,27.00213623046875,0.8728797435760498
12,0.0024245607981677442,0.0024245603,27.40178,0.8937912,0.003048270707949996,0.00315301981754601,26.117595672607422,0.8809727430343628
13,0.00234012042363996,0.0023401205,27.590918,0.8956465,0.0032257887069135904,0.0030593194533139467,26.16326904296875,0.8781894445419312
14,0.0023088215158649666,0.002308822,27.6342,0.8989093,0.0031675987411290407,0.0032205942552536726,26.158296585083008,0.8685666918754578
15,0.00224098248530508,0.0022409826,27.795574,0.9012751,0.002894469304010272,0.0031330527272075415,26.383487701416016,0.8747670650482178
16,0.002150266626438893,0.0021502664,28.008726,0.904226,0.0026428799610584974,0.002420848235487938,27.530834197998047,0.8943526744842529
17,0.002116157169289449,0.0021161577,28.057524,0.9065147,0.002420001896098256,0.0025436829309910536,27.1838436126709,0.8988512754440308
18,0.0020933092208853103,0.0020933095,28.143661,0.9076993,0.0020595830865204334,0.0023159198462963104,27.86675262451172,0.8990088701248169
19,0.0020511250025318827,0.0020511257,28.231415,0.9101294,0.0020605449099093676,0.002234452636912465,27.898529052734375,0.8985502123832703
20,0.0019968804670497777,0.0019968804,28.349096,0.9117351,0.002318228827789426,0.0023919783998280764,27.434064865112305,0.9016738533973694
21,0.001969355487209909,0.0019693554,28.433771,0.91269386,0.002305641071870923,0.002281924244016409,27.7586612701416,0.9083917140960693
22,0.0019455843899563393,0.001945584,28.466303,0.9144012,0.009382781572639942,0.009410242550075054,22.135019302368164,0.7915570139884949
