epoch,loss,mse,psnr_metric,ssim_metric,val_loss,val_mse,val_psnr_metric,val_ssim_metric
0,0.009689404229250024,0.0096894,21.253653,0.6510546,0.0329318605363369,0.0333285927772522,15.394523620605469,0.4633181393146515
1,0.005002909266006421,0.005002911,23.827686,0.7808433,0.0205044187605381,0.01951577514410019,17.754867553710938,0.6039614677429199
2,0.00411897136227173,0.0041189706,24.763521,0.8150746,0.0063819256611168385,0.006370444316416979,22.5854549407959,0.7747511863708496
3,0.003675115793286001,0.0036751167,25.338957,0.8338333,0.004521967843174934,0.004473796114325523,24.817176818847656,0.7975755929946899
4,0.0034215656136546064,0.0034215662,25.673306,0.845336,0.004011682700365782,0.004189489874988794,24.60498046875,0.8346433639526367
5,0.003170051228474168,0.0031700507,26.070787,0.85525376,0.0038651388604193926,0.0038481643423438072,25.11857032775879,0.8465848565101624
6,0.0030118073733961756,0.003011808,26.349453,0.8628224,0.0034794302191585302,0.0032105150166898966,26.09022331237793,0.8583292961120605
7,0.0028992768062059493,0.0028992766,26.50871,0.8695377,0.0036722940858453512,0.0035429690033197403,25.793601989746094,0.840907871723175
8,0.0028309661662206053,0.0028309652,26.61939,0.87381905,0.003041756572201848,0.00292921531945467,26.574081420898438,0.8728121519088745
9,0.0026627230868839164,0.0026627225,26.937368,0.8798772,0.0036909333430230618,0.0035302035976201296,25.388912200927734,0.8672304153442383
10,0.0025503561201998416,0.0025503568,27.147465,0.8848467,0.0031994266901165247,0.0030416594818234444,26.406951904296875,0.8726762533187866
11,0.0024997673476772272,0.0024997669,27.241648,0.8882256,0.002578802639618516,0.0026010386645793915,27.009525299072266,0.8868468999862671
12,0.0024271703599130405,0.00242717,27.389923,0.8912419,0.0027865124866366386,0.002642471343278885,26.924335479736328,0.8888053894042969
13,0.0023891120286220137,0.0023891109,27.438488,0.8942739,0.003137157065793872,0.003133897902444005,26.167877197265625,0.8693490624427795
14,0.0023028363364146036,0.0023028362,27.654448,0.89678735,0.002567409537732601,0.002563695888966322,26.973039627075195,0.8910892009735107
15,0.002230855369913008,0.0022308542,27.817184,0.8999385,0.0030651993583887815,0.0030333781614899635,26.853065490722656,0.869753360748291
16,0.0022252076250665327,0.0022252079,27.810114,0.901483,0.002686590189114213,0.002686089836061001,26.71546745300293,0.8929070830345154
17,0.0021839109379524256,0.0021839107,27.882553,0.903301,0.002744498196989298,0.0025487926322966814,27.180191040039062,0.8962966203689575
18,0.002125830838100656,0.0021258313,28.021048,0.90568876,0.0022731521166861057,0.0022676161024719477,27.93299102783203,0.8983430862426758
19,0.0020893500337158056,0.00208935,28.118359,0.907258,0.002612859243527055,0.00267476262524724,26.949264526367188,0.895945131778717
20,0.0020440168699304407,0.0020440174,28.211653,0.9093167,0.0021737876813858747,0.002231849357485771,27.865137100219727,0.9067746996879578
21,0.001982060198754291,0.00198206,28.371176,0.9120902,0.0020229006186127663,0.0021985217463225126,27.9821720123291,0.9062947034835815
22,0.0019897717831875474,0.0019897711,28.361347,0.9121511,0.0019985807593911886,0.0021646448876708746,27.76685905456543,0.9088699221611023
23,0.0019514454590321025,0.0019514452,28.454891,0.9139245,0.0022257105447351933,0.0019913294818252325,28.571420669555664,0.9121173024177551
24,0.0019191760001430178,0.0019191756,28.528633,0.9154342,0.001980697503313422,0.002054750919342041,28.355180740356445,0.9111265540122986
25,0.001879137961933499,0.0018791378,28.648932,0.9170025,0.002221744041889906,0.0023193862289190292,28.012039184570312,0.9002718329429626
26,0.001867572361986865,0.0018675718,28.641083,0.91802186,0.0023533739149570465,0.002285100519657135,28.1185245513916,0.8985193371772766
27,0.0018530295394799288,0.0018530302,28.692223,0.9189097,0.002027166076004505,0.002042021369561553,28.255390167236328,0.9160436391830444
28,0.0018681133316610667,0.0018681133,28.622345,0.91949475,0.0020918792579323053,0.0022388254292309284,27.9493350982666,0.9053043127059937
29,0.0017833049998016042,0.0017833054,28.90773,0.92113554,0.001962358830496669,0.0020041465759277344,28.379932403564453,0.9170625805854797
30,0.001784063015571412,0.0017840631,28.888702,0.9217122,0.0022655236534774303,0.0020610259380191565,28.251113891601562,0.9108192324638367
31,0.0017404571264598738,0.0017404571,29.017748,0.92316866,0.0019884780049324036,0.001991455676034093,28.359527587890625,0.9199826717376709
32,0.0017400060081854463,0.0017400053,28.98951,0.9244013,0.0018934312975034118,0.0020128602627664804,28.42462730407715,0.9106835126876831
33,0.0016628291519523105,0.0016628294,29.215944,0.9262433,0.0018514437833800912,0.00185094412881881,28.694255828857422,0.9257827401161194
34,0.0016924064606428147,0.0016924072,29.099815,0.9262096,0.001884778612293303,0.0018442936707288027,28.3892765045166,0.9243919849395752
35,0.0016725598238682485,0.0016725602,29.165186,0.92715937,0.0020842894446104765,0.0020733613055199385,27.89450454711914,0.9216144680976868
36,0.0016677457729683202,0.0016677458,29.1613,0.92798936,0.006657907273620367,0.006705811247229576,22.502208709716797,0.8637475371360779
37,0.0016783803584985435,0.0016783803,29.087627,0.927369,0.0016994744073599577,0.0018001804128289223,28.910219192504883,0.9241697192192078
