epoch,lr,train time
0,9.999999747378752e-05,0:03:45.358964
1,9.999999747378752e-05,0:03:36.463299
2,9.999999747378752e-05,0:03:38.293625
3,9.999999747378752e-05,0:03:32.711436
4,9.999999747378752e-05,0:03:30.227487
5,9.999999747378752e-05,0:03:36.990896
6,9.999999747378752e-05,0:03:33.107015
7,9.999999747378752e-05,0:03:30.171660
8,9.999999747378752e-05,0:03:34.849214
9,9.999999747378752e-05,0:03:36.100485
10,9.999999747378752e-05,0:03:29.523189
11,9.999999747378752e-05,0:03:35.384844
12,9.999999747378752e-05,0:03:32.409720
13,9.999999747378752e-05,0:03:29.857281
14,9.999999747378752e-05,0:03:36.005754
15,9.999999747378752e-05,0:03:32.593558
16,9.999999747378752e-05,0:03:30.442695
17,9.999999747378752e-05,0:03:36.423789
18,9.999999747378752e-05,0:03:34.925487
19,9.999999747378752e-05,0:03:30.106041
20,9.999999747378752e-05,0:03:35.462610
21,9.999999747378752e-05,0:03:32.622187
22,9.999999747378752e-05,0:03:29.874696
23,9.999999747378752e-05,0:03:35.762618
24,9.999999747378752e-05,0:03:32.961756
25,9.999999747378752e-05,0:03:29.716949
26,9.999999747378752e-05,0:03:34.623762
27,9.999999747378752e-05,0:03:34.785151
28,9.999999747378752e-05,0:03:30.490330
29,9.999999747378752e-05,0:03:38.919421
30,9.999999747378752e-05,0:03:51.903743
31,9.999999747378752e-05,0:03:40.752735
32,9.999999747378752e-05,0:03:43.440537
33,9.999999747378752e-05,0:03:40.015702
34,9.999999747378752e-05,0:03:38.176119
35,9.999999747378752e-05,0:03:42.331107
36,9.999999747378752e-05,0:03:40.171142
37,9.999999747378752e-05,0:03:38.938569
38,9.999999747378752e-05,0:03:39.649653
39,9.999999747378752e-05,0:03:38.624414
40,9.999999747378752e-05,0:03:39.346150
41,9.999999747378752e-05,0:03:39.262041
42,9.999999747378752e-05,0:03:38.067531
43,9.999999747378752e-05,0:03:38.486938
44,9.999999747378752e-05,0:03:43.123102
45,9.999999747378752e-05,0:03:37.916768
46,9.999999747378752e-05,0:03:38.387330
47,9.999999747378752e-05,0:03:38.851444
48,9.999999747378752e-05,0:03:41.108659
49,9.999999747378752e-05,0:03:46.586368
50,9.999999747378752e-05,0:03:44.471501
51,9.999999747378752e-05,0:03:40.009845
52,9.999999747378752e-05,0:03:44.404754
53,9.999999747378752e-05,0:03:38.528437
54,9.999999747378752e-05,0:03:37.846720
55,9.999999747378752e-05,0:03:39.396390
56,9.999999747378752e-05,0:03:38.441865
57,9.999999747378752e-05,0:03:39.952163
58,9.999999747378752e-05,0:03:38.532307
59,9.999999747378752e-05,0:03:38.240439
60,9.999999747378752e-05,0:03:38.534203
61,9.999999747378752e-05,0:03:40.100654
62,9.999999747378752e-05,0:03:37.760596
63,9.999999747378752e-05,0:03:37.952743
64,9.999999747378752e-05,0:03:38.739570
65,9.999999747378752e-05,0:03:41.335083
66,9.999999747378752e-05,0:03:37.853355
67,9.999999747378752e-05,0:03:38.460409
68,9.999999747378752e-05,0:03:38.728567
69,9.999999747378752e-05,0:03:39.878997
70,9.999999747378752e-05,0:03:54.136517
71,9.999999747378752e-05,0:03:38.628715
72,9.999999747378752e-05,0:03:41.705619
73,9.999999747378752e-05,0:03:38.276795
74,9.999999747378752e-05,0:03:41.005354
75,9.999999747378752e-05,0:03:39.028371
76,9.999999747378752e-05,0:03:36.926485
77,9.999999747378752e-05,0:03:38.197881
78,9.999999747378752e-05,0:03:38.085219
79,9.999999747378752e-05,0:03:41.278590
80,9.999999747378752e-05,0:03:38.028878
81,9.999999747378752e-05,0:03:39.567732
82,9.999999747378752e-05,0:03:37.948583
83,9.999999747378752e-05,0:03:42.556658
84,9.999999747378752e-05,0:03:37.509705
85,9.999999747378752e-05,0:03:37.991447
86,9.999999747378752e-05,0:03:38.044442
87,9.999999747378752e-05,0:03:39.599583
88,9.999999747378752e-05,0:03:38.389061
89,9.999999747378752e-05,0:03:38.920006
