epoch,lr,train time
0,0.0010000000474974513,0:06:39.840409
1,0.0010000000474974513,0:06:14.701196
2,0.0010000000474974513,0:06:01.579901
3,0.0010000000474974513,0:06:02.705456
4,0.0010000000474974513,0:06:08.634416
5,0.0010000000474974513,0:06:15.681105
6,0.0010000000474974513,0:06:23.497379
7,0.0010000000474974513,0:06:15.405626
8,0.0010000000474974513,0:06:13.747356
9,0.0010000000474974513,0:06:19.227483
10,0.0010000000474974513,0:06:21.949382
11,0.0010000000474974513,0:06:57.098434
12,0.0010000000474974513,0:06:34.741083
13,0.0010000000474974513,0:06:30.130107
14,0.0010000000474974513,0:06:53.043473
15,0.0010000000474974513,0:06:26.343503
16,0.0010000000474974513,0:06:36.698657
17,0.0010000000474974513,0:06:57.499094
18,0.0010000000474974513,0:06:31.062466
19,0.0010000000474974513,0:06:36.218211
20,0.0010000000474974513,0:06:51.927398
21,0.0010000000474974513,0:06:14.846557
22,0.0010000000474974513,0:06:06.622962
